Designator,Footprint,Quantity,Value,LCSC Part #
"_15, _14, _13, _12, _11, _10, _9, _8, _7, _6",,10,,
"C1, C10, C12, C13, C14, C15, C16, C17, C4, C8, C9",0402,11,0.1uF,
"C11, C18",0402,2,2.2uF,
"C2, C3",0402,2,22pF,
"C5, C6",0402,2,10uF,
C7,0402,1,1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D9",D_SOD-123,83,D,
D54,D_SOD-123,1,1N4002W,
F1,0805,1,0805L050WR,
FB1,0402,1,FB,
"KiKit_MB_10_1, KiKit_MB_10_2, KiKit_MB_10_3, KiKit_MB_10_4, KiKit_MB_10_5, KiKit_MB_10_6, KiKit_MB_10_7, KiKit_MB_10_8, KiKit_MB_11_1, KiKit_MB_11_2, KiKit_MB_11_3, KiKit_MB_11_4, KiKit_MB_11_5, KiKit_MB_11_6, KiKit_MB_11_7, KiKit_MB_11_8, KiKit_MB_12_1, KiKit_MB_12_2, KiKit_MB_12_3, KiKit_MB_12_4, KiKit_MB_12_5, KiKit_MB_12_6, KiKit_MB_12_7, KiKit_MB_12_8, KiKit_MB_13_1, KiKit_MB_13_2, KiKit_MB_13_3, KiKit_MB_13_4, KiKit_MB_13_5, KiKit_MB_13_6, KiKit_MB_13_7, KiKit_MB_14_1, KiKit_MB_14_2, KiKit_MB_14_3, KiKit_MB_14_4, KiKit_MB_14_5, KiKit_MB_14_6, KiKit_MB_14_7, KiKit_MB_15_1, KiKit_MB_15_2, KiKit_MB_15_3, KiKit_MB_15_4, KiKit_MB_15_5, KiKit_MB_15_6, KiKit_MB_15_7, KiKit_MB_16_1, KiKit_MB_16_2, KiKit_MB_16_3, KiKit_MB_16_4, KiKit_MB_16_5, KiKit_MB_16_6, KiKit_MB_16_7, KiKit_MB_17_1, KiKit_MB_17_2, KiKit_MB_17_3, KiKit_MB_17_4, KiKit_MB_17_5, KiKit_MB_17_6, KiKit_MB_17_7, KiKit_MB_18_1, KiKit_MB_18_2, KiKit_MB_18_3, KiKit_MB_18_4, KiKit_MB_18_5, KiKit_MB_18_6, KiKit_MB_18_7, KiKit_MB_19_1, KiKit_MB_19_2, KiKit_MB_19_3, KiKit_MB_19_4, KiKit_MB_19_5, KiKit_MB_19_6, KiKit_MB_19_7, KiKit_MB_1_1, KiKit_MB_1_2, KiKit_MB_1_3, KiKit_MB_1_4, KiKit_MB_1_5, KiKit_MB_1_6, KiKit_MB_1_7, KiKit_MB_1_8, KiKit_MB_20_1, KiKit_MB_20_2, KiKit_MB_20_3, KiKit_MB_20_4, KiKit_MB_20_5, KiKit_MB_20_6, KiKit_MB_20_7, KiKit_MB_2_1, KiKit_MB_2_2, KiKit_MB_2_3, KiKit_MB_2_4, KiKit_MB_2_5, KiKit_MB_2_6, KiKit_MB_2_7, KiKit_MB_2_8, KiKit_MB_3_1, KiKit_MB_3_2, KiKit_MB_3_3, KiKit_MB_3_4, KiKit_MB_3_5, KiKit_MB_3_6, KiKit_MB_3_7, KiKit_MB_3_8, KiKit_MB_4_1, KiKit_MB_4_2, KiKit_MB_4_3, KiKit_MB_4_4, KiKit_MB_4_5, KiKit_MB_4_6, KiKit_MB_4_7, KiKit_MB_4_8, KiKit_MB_5_1, KiKit_MB_5_2, KiKit_MB_5_3, KiKit_MB_5_4, KiKit_MB_5_5, KiKit_MB_5_6, KiKit_MB_5_7, KiKit_MB_5_8, KiKit_MB_6_1, KiKit_MB_6_2, KiKit_MB_6_3, KiKit_MB_6_4, KiKit_MB_6_5, KiKit_MB_6_6, KiKit_MB_6_7, KiKit_MB_6_8, KiKit_MB_7_1, KiKit_MB_7_2, KiKit_MB_7_3, KiKit_MB_7_4, KiKit_MB_7_5, KiKit_MB_7_6, KiKit_MB_7_7, KiKit_MB_7_8, KiKit_MB_8_1, KiKit_MB_8_2, KiKit_MB_8_3, KiKit_MB_8_4, KiKit_MB_8_5, KiKit_MB_8_6, KiKit_MB_8_7, KiKit_MB_8_8, KiKit_MB_9_1, KiKit_MB_9_2, KiKit_MB_9_3, KiKit_MB_9_4, KiKit_MB_9_5, KiKit_MB_9_6, KiKit_MB_9_7, KiKit_MB_9_8",NPTH,152,NPTH,
OLED1,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
"R1, R2, R4, R6, R7",0402,5,10k,
"R10, R9",0402,2,5.1k,
R11,0402,1,100k,
R13,0402,1,200,
R14,0402,1,1,
"R15, R16",0402,2,27,
"R3, R5",0402,2,1k,
R8,0402,1,5.6k,
ROTARY1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles,1,VOLUME,
S1,SW_EVQ-P7A01P,1,BOOT_SEL,
S2,SW_EVQ-P7A01P,1,RESET,
SW1,MXOnly-1U-Hotswap,1,SW_ESC,
SW10,MXOnly-1U-Hotswap,1,SW_F9,
SW11,MXOnly-1U-Hotswap,1,SW_F10,
SW12,MXOnly-1U-Hotswap,1,SW_F11,
SW13,MXOnly-1U-Hotswap,1,SW_F12,
SW14,MXOnly-1U-Hotswap,1,SW_`~,
SW15,MXOnly-1U-Hotswap,1,SW_1,
SW16,MXOnly-1U-Hotswap,1,SW_2,
SW17,MXOnly-1U-Hotswap,1,SW_3,
SW18,MXOnly-1U-Hotswap,1,SW_4,
SW19,MXOnly-1U-Hotswap,1,SW_5,
SW2,MXOnly-1U-Hotswap,1,SW_F1,
SW20,MXOnly-1U-Hotswap,1,SW_6,
SW21,MXOnly-1U-Hotswap,1,SW_7,
SW22,MXOnly-1U-Hotswap,1,SW_8,
SW23,MXOnly-1U-Hotswap,1,SW_9,
SW24,MXOnly-1U-Hotswap,1,SW_0,
SW25,MXOnly-1U-Hotswap,1,SW_-,
SW26,MXOnly-1U-Hotswap,1,SW_=,
SW27,MXOnly-2U-Hotswap,1,SW_BACKSPACE,
SW28,MXOnly-1.5U-Hotswap,1,SW_TAB,
SW29,MXOnly-1U-Hotswap,1,SW_Q,
SW3,MXOnly-1U-Hotswap,1,SW_F2,
SW30,MXOnly-1U-Hotswap,1,SW_W,
SW31,MXOnly-1U-Hotswap,1,SW_E,
SW32,MXOnly-1U-Hotswap,1,SW_R,
SW33,MXOnly-1U-Hotswap,1,SW_T,
SW34,MXOnly-1U-Hotswap,1,SW_Y,
SW35,MXOnly-1U-Hotswap,1,SW_U,
SW36,MXOnly-1U-Hotswap,1,SW_I,
SW37,MXOnly-1U-Hotswap,1,SW_O,
SW38,MXOnly-1U-Hotswap,1,SW_P,
SW39,MXOnly-1U-Hotswap,1,SW_[,
SW4,MXOnly-1U-Hotswap,1,SW_F3,
SW40,MXOnly-1U-Hotswap,1,SW_],
SW41,MXOnly-1.5U-Hotswap,1,SW_\,
SW42,MXOnly-1.75U-Hotswap,1,SW_CAPS,
SW43,MXOnly-1U-Hotswap,1,SW_A,
SW44,MXOnly-1U-Hotswap,1,SW_S,
SW45,MXOnly-1U-Hotswap,1,SW_D,
SW46,MXOnly-1U-Hotswap,1,SW_F,
SW47,MXOnly-1U-Hotswap,1,SW_G,
SW48,MXOnly-1U-Hotswap,1,SW_H,
SW49,MXOnly-1U-Hotswap,1,SW_J,
SW5,MXOnly-1U-Hotswap,1,SW_F4,
SW50,MXOnly-1U-Hotswap,1,SW_K,
SW51,MXOnly-1U-Hotswap,1,SW_L,
SW52,MXOnly-1U-Hotswap,1,SW_;,
SW53,MXOnly-1U-Hotswap,1,SW_',
SW54,MXOnly-1U-Hotswap,1,SW_F13,
SW55,MXOnly-2.25U-Hotswap,1,SW_ENTER,
SW56,MXOnly-2.25U-Hotswap,1,SW_LSHIFT,
SW57,MXOnly-1U-Hotswap,1,SW_Z,
SW58,MXOnly-1U-Hotswap,1,SW_X,
SW59,MXOnly-1U-Hotswap,1,SW_C,
SW6,MXOnly-1U-Hotswap,1,SW_F5,
SW60,MXOnly-1U-Hotswap,1,SW_V,
SW61,MXOnly-1U-Hotswap,1,SW_B,
