Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C12, C13, C14, C15, C16, C17, C4, C8, C9",0402,11,0.1uF,C1525
"C11, C18",0402,2,2.2uF,C12530
"C2, C3",0402,2,22pF,C1554
"C5, C6",0402,2,10uF,C15525
C7,0402,1,1uF,C52923
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D80, D81, D82, D83, D84, D9",D_SOD-123,83,D,C7420318
D54,D_SOD-123,1,1N4002W,C169542
F1,0805,1,0805L050WR,C207022
FB1,0402,1,FB,C160973
"R1, R2, R4, R6, R7",0402,5,10k,C25744
"R10, R9",0402,2,5.1k,C25905
R11,0402,1,100k,C25741
R13,0402,1,200,C25087
R14,0402,1,1,C25086
"R15, R16",0402,2,27,C25100
"R3, R5",0402,2,1k,C11702
R8,0402,1,5.6k,C25908
S1,SW_EVQ-P7A01P,1,BOOT_SEL,C485515
S2,SW_EVQ-P7A01P,1,RESET,C485515
U1,SON-8-1EP_3x2mm_P0.5mm_EP1.4x1.6mm,1,W25Q16JVUXIQ,C2843335
U2,SOT-23-5,1,TLV75533PDBVR,C404027
U3,RP2040-QFN-56,1,RP2040,C2040
USB1,HRO-TYPE-C-31-M-12,1,HRO-TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
