Designator,Mid X,Mid Y,Rotation,Layer
C1,324.465,-92.595,180,top
C10,326.228,-106.324,270,top
C11,332.832,-94.296,90,top
C12,331.493,-96.262,0,top
C13,331.492,-97.28,0,top
C14,320.777,-97.189,180,top
C15,326.076,-93.006,90,top
C16,332.046,-103.433,270,top
C17,330.495,-94.289,90,top
C18,315.795,-101.48,180,top
C2,323.431,-106.783,0,top
C3,326.524,-109.53,270,top
C4,167.079,-12.085,270,top
C5,304.338,-91.691,270,top
C6,304.64,-90.143,0,top
C7,329.465,-94.274,90,top
C8,327.557,-109.514,270,top
C9,325.998,-95.218,90,top
D1,20.043,-28.919,0,top
D10,204.122,-28.917,0,top
D11,223.042,-28.888,0,top
D12,242.156,-28.903,0,top
D13,261.226,-28.917,0,top
D14,20.07,-52.679,0,top
D15,39.086,-52.823,0,top
D16,58.23,-52.664,0,top
D17,77.283,-52.664,0,top
D18,96.314,-52.702,0,top
D19,115.447,-52.691,0,top
D2,43.273,-28.926,0,top
D20,134.505,-52.742,0,top
D21,153.535,-52.697,0,top
D22,172.496,-52.649,0,top
D23,191.589,-52.673,0,top
D24,210.638,-52.685,0,top
D25,229.631,-52.646,0,top
D26,248.724,-52.691,0,top
D27,259.487,-48.1775,90,top
D28,24.91,-71.66,0,top
D29,48.659,-71.806,0,top
D3,62.254,-28.969,0,top
D30,67.659,-71.757,0,top
D31,86.712,-71.787,0,top
D32,105.817,-71.783,0,top
D33,124.923,-71.788,0,top
D34,143.943,-71.733,0,top
D35,163.003,-71.787,0,top
D36,182.074,-71.768,0,top
D37,201.237,-71.76,0,top
D38,220.18,-71.688,0,top
D39,239.122,-71.713,0,top
D4,81.52,-28.961,0,top
D40,258.257,-71.758,0,top
D41,280.0755,-71.589,0,top
D42,27.36,-90.8,0,top
D43,53.513,-90.794,0,top
D44,72.468,-90.772,0,top
D45,91.526,-90.781,0,top
D46,110.644,-90.737,0,top
D47,129.577,-90.812,0,top
D48,148.664,-90.797,0,top
D49,167.817,-90.886,0,top
D5,100.416,-29.038,0,top
D50,186.8,-90.789,0,top
D51,205.866,-90.819,0,top
D52,224.824,-90.818,0,top
D53,243.909,-90.837,0,top
D54,298.43,-74.334,90,top
D55,254.746,-88.7895,90,top
D56,52.319,-108.254,90,top
D57,62.972,-109.865,0,top
D58,81.964,-109.843,0,top
D59,101.159,-109.858,0,top
D6,123.734,-28.941,0,top
D60,120.136,-109.858,0,top
D61,139.248,-109.858,0,top
D62,158.111,-109.852,0,top
D63,177.223,-109.882,0,top
D64,196.2815,-109.741,0,top
D65,215.327,-109.897,0,top
D66,234.384,-109.921,0,top
D67,286.9195,-28.687,0,top
D68,260.711,-110.312,0,top
D69,292.7535,-111.152,0,top
D7,142.805,-28.889,0,top
D70,22.417,-128.797,0,top
D71,46.122,-128.893,0,top
D72,70.094,-128.938,0,top
D73,153.537,-121.187,90,top
D74,210.542,-128.916,0,top
D75,229.549,-128.916,0,top
D76,248.617,-128.916,0,top
D77,273.5825,-130.247,0,top
D78,292.6825,-130.149,0,top
D79,308.959,-15.1385,90,top
D8,161.897,-28.906,0,top
D80,310.328,-52.661,0,top
D81,310.4405,-71.62,0,top
D82,329.407,-52.662,0,top
D83,329.181,-71.821,0,top
D84,311.868,-130.24,0,top
D9,180.789,-28.943,0,top
F1,298.441,-78.545,270,top
FB1,298.455,-88.5875,90,top
R1,309.031,-18.524,180,top
R10,170.92,-14.78,180,top
R11,297.942,-91.675,0,top
R13,331.568,-94.308,90,top
R14,332.064,-92.824,0,top
R15,327.359,-94.249,90,top
R16,328.419,-94.276,90,top
R2,309.068,-23.482,180,top
R3,322.368,-91.381,180,top
R4,322.466,-92.604,0,top
R5,326.967,-108.016,180,top
R6,168.23,-12.13,90,top
R7,334.059,-101.145,90,top
R8,296.146,-73.445,90,top
R9,171.23,-16.568,270,top
S1,342.065,-96.9435,90,top
S2,342.014,-103.12,90,top
U1,323.14,-94.452,0,top
U2,301.572,-90.598,180,top
U3,325.962,-100.692,0,top
USB1,174.483,-4.4535,180,top
Y1,323.788,-109.13,180,top
